model_06_13_20,model_06_20_20,model_6_27_20,model_7_18_20,model_7_25_20,model_9_2_20,model_9_10_20,model_10_23_20,model_10_27_20,model_10_28_20,model_2021_06_24,model_2021_06_30,model_2021_07_21
"LogisticRegression(max_iter=50000, random_state=75, tol=5.993308915320019)",GaussianNB(),GaussianNB(),"GradientBoostingClassifier(n_estimators=122, random_state=75)",GaussianNB(),GaussianNB(var_smoothing=1e-12),GaussianNB(var_smoothing=1e-12),"GradientBoostingClassifier(max_depth=95, min_samples_leaf=6, n_estimators=195,
                           random_state=75)","RandomForestClassifier(criterion='entropy', max_depth=10, n_estimators=197,
                       n_jobs=-1, random_state=75)","RandomForestClassifier(criterion='entropy', max_depth=10, n_estimators=22,
                       n_jobs=-1, random_state=75)","GradientBoostingClassifier(max_depth=95, min_samples_leaf=0.0015,
                           n_estimators=195, random_state=75)","GradientBoostingClassifier(max_depth=95, min_samples_leaf=0.0015,
                           n_estimators=195, random_state=75)",RadiusNeighborsClassifier(outlier_label='most_frequent')
"['B_win_by_Decision_Majority', 'B_win_by_TKO_Doctor_Stoppage', 'R_win_by_Decision_Majority', 'R_odds', 'R_current_lose_streak', 'R_Reach_cms', 'B_draw', 'total_round_dif', 'R_ev', 'B_ev']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","['R_longest_win_streak', 'longest_win_streak_dif', 'reach_dif', 'avg_sub_att_dif', 'R_win_by_Decision_Unanimous', 'B_win_by_Submission', 'R_Weight_lbs', 'sig_str_dif', 'B_Height_cms', 'B_avg_SUB_ATT', 'R_win_by_TKO_Doctor_Stoppage', 'height_dif', 'B_draw', 'avg_td_dif', 'R_win_by_Decision_Split', 'age_dif', 'B_current_win_streak', 'R_odds']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","['B_Stance', 'R_current_lose_streak', 'loss_dif', 'B_win_by_Decision_Split', 'R_Height_cms', 'R_Bantamweight_rank', 'B_current_lose_streak', 'avg_sub_att_dif', 'B_Middleweight_rank', 'R_current_win_streak', 'total_round_dif', 'B_avg_SUB_ATT', 'B_avg_SIG_STR_landed', 'age_dif', 'B_Light Heavyweight_rank', 'R_avg_TD_pct', 'R_ev', ""B_Women's Flyweight_rank"", ""B_Women's Strawweight_rank"", 'B_Bantamweight_rank', 'R_Reach_cms', 'B_win_by_Decision_Unanimous', 'constant_1']","[""R_Women's Featherweight_rank"", 'B_Featherweight_rank', 'B_win_by_KO/TKO', 'R_Pound-for-Pound_rank', 'reach_dif', ""R_Women's Bantamweight_rank"", 'age_dif', 'weight_class', 'B_Reach_cms', 'B_Welterweight_rank', 'B_total_title_bouts', 'R_avg_TD_pct', 'B_Bantamweight_rank', 'R_Featherweight_rank', 'no_of_rounds', 'B_draw', 'B_Stance', 'R_win_by_TKO_Doctor_Stoppage', 'R_current_win_streak', 'B_avg_SIG_STR_landed', 'country']","[""R_Women's Featherweight_rank"", 'B_Lightweight_rank', 'R_Featherweight_rank', 'R_Light Heavyweight_rank', 'total_title_bout_dif', 'R_losses', 'B_win_by_Submission', 'Blue - DEC', 'B_draw', 'R_Middleweight_rank', 'B_avg_SIG_STR_pct', ""B_Women's Strawweight_rank"", 'age_dif', 'B_Middleweight_rank', 'avg_sub_att_dif', 'avg_td_dif', 'B_avg_SUB_ATT', ""R_Women's Flyweight_rank"", 'R_Pound-for-Pound_rank', 'R_Reach_cms', 'R_wins', 'B_ev', 'R_Weight_lbs', 'sub_dif', 'R_ev', 'B_avg_TD_landed']","[""R_Women's Flyweight_rank"", 'R_draw', ""B_Women's Strawweight_rank"", 'B_Heavyweight_rank', 'R_Light Heavyweight_rank', 'B_win_by_TKO_Doctor_Stoppage', 'R_Pound-for-Pound_rank', 'R_avg_SUB_ATT', 'R_win_by_Decision_Split', 'R_wins', 'empty_arena', 'sub_dif', 'R_Flyweight_rank', 'height_dif', 'B_total_title_bouts', 'B_Bantamweight_rank', 'R_longest_win_streak', 'R_avg_TD_landed', 'B_avg_SIG_STR_landed']"
0,0,0,0,1,3,2,27,1,5,33,0,5
951.5496528,-565.0992472,497.2359508,-364.2805639,-1098.850356,-1139.649213,-342.3312405,-1027.165162,-1639.549967,1497.060193,900.3856353,-80.32868471,1302.417593
